Chambres,Salon,SalleDeBainInterieure,Parking,Meuble,Jardin,Superficie_m2,DistanceRoute_m,Quartier,AgeMaison,LoyerMensuel_BIF
4.0,Oui,Oui,,Non,Oui,192.0,277.0,Rohero,17.0,2600000
5.0,Oui,Oui,Non,Oui,Non,234.0,47.0,Rohero,37.0,2600000
3.0,Oui,Oui,Non,Non,Oui,151.0,45.0,Kinanira,23.0,1069218
5.0,Oui,Oui,Oui,Oui,Oui,227.0,174.0,Gasekebuye,22.0,2600000
5.0,Oui,Oui,Oui,,Non,262.0,216.0,Gihosha,21.0,2085458
2.0,Non,Oui,Oui,,Oui,79.0,172.0,Gihosha,1.0,1047467
3.0,Non,Oui,Non,Oui,Oui,168.0,43.0,Kamenge,30.0,945838
,Oui,Oui,Non,Non,Oui,119.0,249.0,Autres,10.0,824889
3.0,Oui,Non,Non,Non,Oui,150.0,155.0,Kinama,27.0,544343
5.0,Oui,Oui,Oui,Oui,Non,238.0,115.0,Kiriri,31.0,2600000
1.0,Oui,Oui,Non,Non,Oui,35.0,51.0,Ngagara,4.0,2500000
3.0,Oui,Non,Oui,Non,Non,145.0,67.0,Buyenzi,37.0,459826
6.0,Oui,Oui,Oui,Non,Non,259.0,229.0,Kinama,9.0,765914
5.0,Oui,Oui,Oui,Non,Non,262.0,73.0,Kinanira,39.0,1786611
2.0,,Non,Non,Non,Non,,294.0,Bwiza,23.0,249830
4.0,Oui,Oui,Oui,Non,Oui,217.0,,Bwiza,34.0,772406
6.0,Oui,Oui,Non,Non,Non,281.0,207.0,Kamenge,22.0,1020710
6.0,Oui,Oui,Oui,Non,Oui,250.0,65.0,Cibitoke,16.0,1667009
2.0,Oui,Oui,Oui,Oui,Non,125.0,165.0,Kinama,0.0,872872
4.0,Oui,Oui,Oui,Non,Non,164.0,20.0,Cibitoke,30.0,889998
5.0,Oui,Oui,Oui,Non,Oui,249.0,98.0,Rohero,30.0,2600000
1.0,Oui,Non,Non,Oui,,30.0,142.0,Bwiza,33.0,322208
4.0,Oui,Oui,Oui,Oui,Non,175.0,42.0,,8.0,846374
2.0,Oui,Oui,Non,Non,Oui,,131.0,Kinanira,21.0,1051769
6.0,Oui,Oui,Non,Non,Oui,265.0,279.0,Ngagara,12.0,2068140
5.0,Oui,Oui,Non,Non,Non,259.0,168.0,Kiriri,24.0,2600000
4.0,Oui,Oui,Oui,Non,Non,161.0,81.0,Bwiza,17.0,579453
1.0,Oui,Non,Oui,Oui,Non,73.0,178.0,Buyenzi,11.0,522789
,Oui,Oui,Oui,Non,Non,52.0,95.0,Kiriri,39.0,934995
3.0,Oui,Oui,Non,Oui,Non,146.0,242.0,Kiriri,16.0,2383077
3.0,Oui,Oui,Non,Non,Non,141.0,268.0,Gasekebuye,14.0,1203784
2.0,Oui,Non,,Non,Oui,89.0,183.0,Nyakabiga,14.0,728910
4.0,Oui,Oui,Non,Non,Oui,183.0,213.0,Gihosha,14.0,1524598
4.0,,Oui,Oui,Non,Non,171.0,,Kinanira,38.0,1557746
6.0,Oui,Oui,Non,Non,Non,299.0,111.0,Kinama,12.0,999984
6.0,Oui,,Oui,Non,Oui,284.0,299.0,Buyenzi,16.0,845638
6.0,Oui,Oui,Non,Non,Oui,309.0,288.0,Bwiza,31.0,1103996
3.0,Oui,Non,Oui,Non,Non,147.0,186.0,Bwiza,8.0,580812
4.0,Oui,Oui,Non,Non,Non,192.0,41.0,Bwiza,39.0,534589
4.0,Oui,Non,Non,Non,Non,210.0,141.0,Musaga,19.0,915551
1.0,Oui,Non,Non,Non,Non,67.0,60.0,Gihosha,25.0,567908
3.0,Oui,Non,,Non,Oui,151.0,191.0,Gihosha,26.0,1609464
5.0,Oui,Oui,,Oui,Oui,216.0,262.0,,20.0,1584595
3.0,Oui,Oui,Oui,Non,Oui,117.0,62.0,Musaga,17.0,784573
5.0,Oui,Oui,Oui,Non,Oui,205.0,127.0,Kiriri,12.0,2600000
6.0,Oui,Oui,Oui,Oui,Non,320.0,192.0,Kiriri,15.0,150000
2.0,Oui,Non,Non,Non,Non,109.0,234.0,Gasekebuye,8.0,902908
4.0,Oui,Oui,Oui,Oui,Non,169.0,172.0,Autres,11.0,1252990
1.0,Oui,Non,Oui,Non,Non,67.0,118.0,Bwiza,37.0,266468
4.0,Oui,Non,,Non,Oui,203.0,256.0,Kamenge,18.0,772553
6.0,Oui,Oui,Oui,Non,Non,278.0,111.0,Gasekebuye,6.0,2600000
2.0,Oui,Non,Non,Non,Non,82.0,41.0,Kamenge,34.0,363444
2.0,Non,Oui,Oui,Non,Non,81.0,96.0,Musaga,17.0,597977
1.0,,,Non,Non,Non,55.0,22.0,Nyakabiga,,492200
2.0,Oui,Non,Oui,Non,Non,115.0,67.0,Rohero,38.0,1328618
5.0,Oui,Oui,Non,Non,Non,206.0,154.0,Musaga,3.0,919586
2.0,Oui,Non,Non,Non,Oui,120.0,143.0,Rohero,24.0,1588560
4.0,Oui,Non,Oui,Non,Oui,209.0,190.0,Buyenzi,31.0,684542
4.0,Oui,Oui,Non,Oui,Non,194.0,189.0,Nyakabiga,39.0,1208719
4.0,Oui,Oui,,Non,Non,,209.0,Kiriri,12.0,2600000
,,Oui,Non,Non,Oui,176.0,264.0,Kinanira,16.0,1578234
5.0,Oui,Oui,Oui,Non,Non,230.0,218.0,Gasekebuye,36.0,2006894
3.0,Non,Non,Non,Oui,Oui,122.0,260.0,Kiriri,5.0,2366166
6.0,Oui,Oui,Non,Oui,Non,278.0,139.0,,18.0,2600000
1.0,Oui,Oui,Non,Non,Non,50.0,65.0,,12.0,521765
4.0,Oui,Oui,Non,Non,Non,169.0,92.0,Gihosha,25.0,1517750
2.0,Non,Oui,Oui,Non,Oui,95.0,211.0,Autres,13.0,727436
4.0,Oui,,Oui,Non,Oui,193.0,133.0,Buyenzi,30.0,678188
2.0,Oui,Oui,,Non,Oui,120.0,7.0,Gihosha,3.0,1708148
6.0,Oui,Oui,Oui,Non,Oui,290.0,246.0,Gasekebuye,38.0,2600000
6.0,Oui,Oui,Non,Non,Non,256.0,125.0,Nyakabiga,7.0,1365310
6.0,Oui,Oui,Oui,Non,Oui,253.0,106.0,Kiriri,24.0,2600000
2.0,Oui,Oui,Non,Non,Non,127.0,42.0,Gasekebuye,12.0,1296838
4.0,Oui,Oui,Non,Oui,Oui,212.0,137.0,Rohero,31.0,2600000
6.0,Oui,Oui,Non,Non,Oui,,206.0,Gasekebuye,37.0,2363592
5.0,Oui,Oui,Oui,Non,Oui,249.0,25.0,Cibitoke,37.0,1604301
2.0,Oui,Non,Non,Non,Oui,80.0,246.0,Nyakabiga,27.0,557909
2.0,Oui,Oui,Non,Non,Oui,98.0,113.0,Autres,29.0,623723
4.0,Oui,Oui,Oui,Non,Non,215.0,88.0,Nyakabiga,2.0,1274350
2.0,Oui,Oui,Non,Non,Non,105.0,87.0,Cibitoke,27.0,623265
2.0,Oui,Non,Non,Non,Non,94.0,295.0,Gasekebuye,2.0,868643
6.0,Oui,Oui,Oui,Non,Non,270.0,73.0,Buyenzi,33.0,716607
4.0,Oui,,Oui,,Non,216.0,133.0,Rohero,15.0,2571093
6.0,Oui,Oui,Oui,Non,Oui,285.0,200.0,,21.0,2600000
6.0,Oui,Oui,Oui,Non,Non,259.0,,Bwiza,31.0,1050450
4.0,Oui,Oui,Oui,Oui,Non,196.0,287.0,Gihosha,,1894478
1.0,Oui,Non,Oui,Non,Non,33.0,238.0,Nyakabiga,7.0,429276
6.0,Oui,Oui,Oui,Non,Non,273.0,27.0,Gasekebuye,7.0,2600000
,Oui,Oui,,Non,Oui,239.0,157.0,Nyakabiga,5.0,1743130
5.0,Oui,Oui,Non,Non,Non,253.0,281.0,Ngagara,13.0,1460564
2.0,Oui,Oui,Oui,Non,Non,,65.0,,31.0,853351
5.0,Oui,Oui,Non,Non,Non,252.0,56.0,Nyakabiga,34.0,1519041
2.0,Oui,Oui,Oui,,Non,105.0,157.0,Kinama,9.0,705524
1.0,Oui,Oui,Oui,Non,Non,42.0,241.0,Kinanira,2.0,718058
4.0,Oui,Oui,Oui,,Oui,208.0,36.0,Kinama,11.0,958924
4.0,Oui,Oui,Oui,Non,Non,198.0,59.0,Rohero,30.0,2476189
4.0,Oui,Non,Oui,Non,Non,191.0,40.0,Kinanira,28.0,1661275
5.0,Oui,Oui,Non,Non,Oui,228.0,,Nyakabiga,4.0,1709901
1.0,Oui,Oui,Oui,Non,Non,47.0,181.0,Autres,24.0,482350
5.0,Oui,Oui,Non,Non,Oui,236.0,299.0,Gasekebuye,40.0,2286847
5.0,Oui,Oui,Non,Non,Oui,241.0,101.0,Cibitoke,30.0,1067184
1.0,Oui,Oui,Oui,Non,Non,36.0,217.0,Gihosha,20.0,637441
1.0,Oui,Oui,Oui,Non,Non,73.0,141.0,Kinama,19.0,341839
,Oui,Oui,Non,Oui,Oui,79.0,10.0,Gasekebuye,,1651976
1.0,Oui,Non,Oui,Non,Non,37.0,113.0,Bwiza,21.0,223992
4.0,Oui,Oui,Oui,Non,Oui,182.0,39.0,Autres,3.0,1214330
3.0,Non,Oui,Non,Non,Oui,139.0,43.0,,12.0,1243624
3.0,Oui,Oui,Oui,Non,Non,149.0,154.0,Gasekebuye,19.0,1551433
1.0,Non,Oui,Non,Non,Non,65.0,122.0,Nyakabiga,12.0,393107
,Oui,Oui,Non,Non,Non,144.0,265.0,Kinanira,16.0,1059409
3.0,Oui,Oui,,Oui,Oui,131.0,91.0,Nyakabiga,35.0,1375994
,Non,Non,Oui,Non,Non,73.0,80.0,Nyakabiga,32.0,317276
3.0,,,Oui,Non,Non,134.0,218.0,Nyakabiga,0.0,719344
5.0,Oui,Oui,Oui,Oui,Non,252.0,289.0,Ngagara,,1788192
2.0,Oui,Non,Oui,Non,Non,94.0,243.0,Gihosha,12.0,881102
2.0,Oui,Oui,Non,Oui,Oui,91.0,169.0,Cibitoke,16.0,980090
1.0,Oui,Oui,Oui,Non,Non,37.0,91.0,Cibitoke,23.0,405293
4.0,Oui,Oui,Oui,,Oui,218.0,145.0,Kinanira,7.0,1915811
1.0,Oui,Oui,Non,Non,Non,43.0,164.0,Kinanira,26.0,476807
4.0,Oui,Non,Non,,Oui,208.0,50.0,Nyakabiga,22.0,1094619
2.0,Oui,Oui,Non,Non,Non,105.0,116.0,Ngagara,7.0,826141
1.0,Oui,Non,Oui,Non,Non,36.0,49.0,Nyakabiga,7.0,480699
6.0,Oui,Oui,Non,Oui,Non,290.0,251.0,Ngagara,25.0,2024510
5.0,Oui,,Oui,Non,Oui,223.0,108.0,Nyakabiga,,1515492
3.0,Oui,Oui,,Non,Non,126.0,89.0,Kinama,38.0,656963
4.0,Oui,Oui,Oui,Non,Non,168.0,138.0,Kinama,36.0,702286
6.0,Oui,Oui,Non,Non,Non,256.0,112.0,Rohero,27.0,2600000
3.0,Oui,Non,Oui,Non,Non,142.0,22.0,Nyakabiga,24.0,969147
3.0,Oui,Oui,Oui,Oui,,128.0,98.0,Gihosha,15.0,1533061
,Oui,Non,Oui,Oui,Non,55.0,154.0,Autres,1.0,761904
,Oui,,Oui,Non,Oui,166.0,250.0,Bwiza,17.0,718007
5.0,Oui,Oui,Non,Non,Oui,223.0,293.0,Rohero,16.0,2600000
6.0,Oui,Oui,Non,Oui,Oui,307.0,213.0,Kinanira,29.0,2559567
3.0,Oui,Non,Non,Non,Oui,161.0,130.0,Buyenzi,38.0,429523
1.0,Oui,Non,Oui,Non,Non,40.0,239.0,Nyakabiga,12.0,352989
5.0,Oui,Oui,Oui,Non,Non,257.0,126.0,Gasekebuye,31.0,2435903
2.0,Non,Oui,Oui,,Non,74.0,142.0,Kiriri,28.0,1117990
6.0,Oui,Oui,Oui,Oui,Non,284.0,119.0,Kinama,29.0,1421577
3.0,Oui,Oui,Oui,Non,Oui,126.0,166.0,Gasekebuye,17.0,1296997
1.0,Non,Non,Non,,Non,49.0,205.0,Buyenzi,12.0,136149
2.0,Oui,Oui,Oui,Oui,Non,121.0,238.0,Ngagara,20.0,1185706
2.0,Oui,Non,Oui,Oui,Oui,128.0,32.0,Buyenzi,29.0,693615
4.0,Oui,Oui,Oui,Non,,180.0,15.0,Gihosha,20.0,1561007
,Oui,Oui,Oui,Non,Oui,240.0,210.0,Nyakabiga,16.0,1663240
3.0,Oui,Oui,Oui,Non,Oui,167.0,171.0,Cibitoke,39.0,827999
1.0,Oui,Oui,Non,Non,Non,47.0,251.0,Buyenzi,18.0,177224
4.0,Oui,Oui,Non,Non,Oui,175.0,51.0,,,1152457
5.0,,Oui,Non,Non,Non,261.0,250.0,Cibitoke,8.0,1323166
4.0,Oui,Oui,,Non,Non,198.0,131.0,Ngagara,9.0,1140448
6.0,Oui,Oui,Oui,Non,Non,294.0,151.0,Rohero,30.0,2600000
5.0,,Oui,Oui,Non,Oui,257.0,122.0,Gasekebuye,22.0,2451878
5.0,,Oui,Oui,Non,Oui,246.0,156.0,Cibitoke,29.0,1177720
3.0,Oui,Non,Non,Non,Oui,,76.0,Rohero,32.0,1995431
,Oui,Oui,,Non,Non,243.0,141.0,Kinama,8.0,876345
4.0,Oui,Oui,Oui,Non,,173.0,179.0,Bwiza,0.0,699138
5.0,Oui,Oui,Oui,Non,Oui,235.0,293.0,Nyakabiga,34.0,1466574
3.0,Oui,Oui,Oui,Non,Non,172.0,23.0,Buyenzi,10.0,508768
3.0,Oui,Oui,Non,Non,Non,119.0,199.0,Kinama,33.0,365296
6.0,Oui,Oui,Oui,Non,,284.0,179.0,,15.0,1028999
4.0,Oui,Oui,Oui,Non,Non,182.0,145.0,Kiriri,8.0,2600000
2.0,Oui,Oui,Oui,Non,Non,98.0,250.0,Musaga,31.0,494778
2.0,Oui,,Oui,Oui,Oui,112.0,97.0,Kamenge,14.0,1066380
