Chambres,Superficie_m2,DistanceRoute_m,Quartier,AgeMaison,LoyerMensuel_BIF,Confort_Score,Chambres_par_Superficie
4.0,192.0,277.0,Rohero,17.0,2600000,4.0,0.020833333333333332
5.0,234.0,47.0,Rohero,37.0,2600000,3.0,0.021367521367521368
3.0,151.0,45.0,Kinanira,23.0,1069218,3.0,0.019867549668874173
5.0,227.0,174.0,Gasekebuye,22.0,2600000,5.0,0.022026431718061675
5.0,262.0,216.0,Gihosha,21.0,2085458,3.0,0.019083969465648856
2.0,79.0,172.0,Gihosha,1.0,1047467,3.0,0.02531645569620253
3.0,168.0,43.0,Kamenge,30.0,945838,3.0,0.017857142857142856
,119.0,249.0,Autres,10.0,824889,3.0,
3.0,150.0,155.0,Kinama,27.0,544343,2.0,0.02
5.0,238.0,115.0,Kiriri,31.0,2600000,4.0,0.02100840336134454
1.0,35.0,51.0,Ngagara,4.0,2500000,3.0,0.02857142857142857
3.0,145.0,67.0,Buyenzi,37.0,459826,2.0,0.020689655172413793
6.0,259.0,229.0,Kinama,9.0,765914,3.0,0.023166023166023165
5.0,262.0,73.0,Kinanira,39.0,1786611,3.0,0.019083969465648856
2.0,,294.0,Bwiza,23.0,249830,1.0,
4.0,217.0,,Bwiza,34.0,772406,4.0,0.018433179723502304
6.0,281.0,207.0,Kamenge,22.0,1020710,2.0,0.021352313167259787
6.0,250.0,65.0,Cibitoke,16.0,1667009,4.0,0.024
2.0,125.0,165.0,Kinama,0.0,872872,4.0,0.016
4.0,164.0,20.0,Cibitoke,30.0,889998,3.0,0.024390243902439025
5.0,249.0,98.0,Rohero,30.0,2600000,4.0,0.020080321285140562
1.0,30.0,142.0,Bwiza,33.0,322208,2.0,0.03333333333333333
4.0,175.0,42.0,,8.0,846374,4.0,0.022857142857142857
2.0,,131.0,Kinanira,21.0,1051769,3.0,
6.0,265.0,279.0,Ngagara,12.0,2068140,3.0,0.022641509433962263
5.0,259.0,168.0,Kiriri,24.0,2600000,2.0,0.019305019305019305
4.0,161.0,81.0,Bwiza,17.0,579453,3.0,0.024844720496894408
1.0,73.0,178.0,Buyenzi,11.0,522789,3.0,0.0136986301369863
,52.0,95.0,Kiriri,39.0,934995,3.0,
3.0,146.0,242.0,Kiriri,16.0,2383077,3.0,0.02054794520547945
3.0,141.0,268.0,Gasekebuye,14.0,1203784,2.0,0.02127659574468085
2.0,89.0,183.0,Nyakabiga,14.0,728910,3.0,0.02247191011235955
4.0,183.0,213.0,Gihosha,14.0,1524598,3.0,0.02185792349726776
4.0,171.0,,Kinanira,38.0,1557746,3.0,0.023391812865497075
6.0,299.0,111.0,Kinama,12.0,999984,2.0,0.020066889632107024
6.0,284.0,299.0,Buyenzi,16.0,845638,4.0,0.02112676056338028
6.0,309.0,288.0,Bwiza,31.0,1103996,3.0,0.019417475728155338
3.0,147.0,186.0,Bwiza,8.0,580812,2.0,0.02040816326530612
4.0,192.0,41.0,Bwiza,39.0,534589,2.0,0.020833333333333332
4.0,210.0,141.0,Musaga,19.0,915551,1.0,0.01904761904761905
1.0,67.0,60.0,Gihosha,25.0,567908,1.0,0.014925373134328358
3.0,151.0,191.0,Gihosha,26.0,1609464,3.0,0.019867549668874173
5.0,216.0,262.0,,20.0,1584595,5.0,0.023148148148148147
3.0,117.0,62.0,Musaga,17.0,784573,4.0,0.02564102564102564
5.0,205.0,127.0,Kiriri,12.0,2600000,4.0,0.024390243902439025
6.0,320.0,192.0,Kiriri,15.0,150000,4.0,0.01875
2.0,109.0,234.0,Gasekebuye,8.0,902908,1.0,0.01834862385321101
4.0,169.0,172.0,Autres,11.0,1252990,4.0,0.023668639053254437
1.0,67.0,118.0,Bwiza,37.0,266468,2.0,0.014925373134328358
4.0,203.0,256.0,Kamenge,18.0,772553,3.0,0.019704433497536946
6.0,278.0,111.0,Gasekebuye,6.0,2600000,3.0,0.02158273381294964
2.0,82.0,41.0,Kamenge,34.0,363444,1.0,0.024390243902439025
2.0,81.0,96.0,Musaga,17.0,597977,2.0,0.024691358024691357
1.0,55.0,22.0,Nyakabiga,,492200,2.0,0.01818181818181818
2.0,115.0,67.0,Rohero,38.0,1328618,2.0,0.017391304347826087
5.0,206.0,154.0,Musaga,3.0,919586,2.0,0.024271844660194174
2.0,120.0,143.0,Rohero,24.0,1588560,2.0,0.016666666666666666
4.0,209.0,190.0,Buyenzi,31.0,684542,3.0,0.019138755980861243
4.0,194.0,189.0,Nyakabiga,39.0,1208719,3.0,0.020618556701030927
4.0,,209.0,Kiriri,12.0,2600000,3.0,
,176.0,264.0,Kinanira,16.0,1578234,3.0,
5.0,230.0,218.0,Gasekebuye,36.0,2006894,3.0,0.021739130434782608
3.0,122.0,260.0,Kiriri,5.0,2366166,2.0,0.02459016393442623
6.0,278.0,139.0,,18.0,2600000,3.0,0.02158273381294964
1.0,50.0,65.0,,12.0,521765,2.0,0.02
4.0,169.0,92.0,Gihosha,25.0,1517750,2.0,0.023668639053254437
2.0,95.0,211.0,Autres,13.0,727436,3.0,0.021052631578947368
4.0,193.0,133.0,Buyenzi,30.0,678188,4.0,0.02072538860103627
2.0,120.0,7.0,Gihosha,3.0,1708148,4.0,0.016666666666666666
6.0,290.0,246.0,Gasekebuye,38.0,2600000,4.0,0.020689655172413793
6.0,256.0,125.0,Nyakabiga,7.0,1365310,2.0,0.0234375
6.0,253.0,106.0,Kiriri,24.0,2600000,4.0,0.023715415019762844
2.0,127.0,42.0,Gasekebuye,12.0,1296838,2.0,0.015748031496062992
4.0,212.0,137.0,Rohero,31.0,2600000,4.0,0.018867924528301886
6.0,,206.0,Gasekebuye,37.0,2363592,3.0,
5.0,249.0,25.0,Cibitoke,37.0,1604301,4.0,0.020080321285140562
2.0,80.0,246.0,Nyakabiga,27.0,557909,2.0,0.025
2.0,98.0,113.0,Autres,29.0,623723,3.0,0.02040816326530612
4.0,215.0,88.0,Nyakabiga,2.0,1274350,3.0,0.018604651162790697
2.0,105.0,87.0,Cibitoke,27.0,623265,2.0,0.01904761904761905
2.0,94.0,295.0,Gasekebuye,2.0,868643,1.0,0.02127659574468085
6.0,270.0,73.0,Buyenzi,33.0,716607,3.0,0.022222222222222223
4.0,216.0,133.0,Rohero,15.0,2571093,3.0,0.018518518518518517
6.0,285.0,200.0,,21.0,2600000,4.0,0.021052631578947368
6.0,259.0,,Bwiza,31.0,1050450,3.0,0.023166023166023165
4.0,196.0,287.0,Gihosha,,1894478,4.0,0.02040816326530612
1.0,33.0,238.0,Nyakabiga,7.0,429276,2.0,0.030303030303030304
6.0,273.0,27.0,Gasekebuye,7.0,2600000,3.0,0.02197802197802198
,239.0,157.0,Nyakabiga,5.0,1743130,4.0,
5.0,253.0,281.0,Ngagara,13.0,1460564,2.0,0.019762845849802372
2.0,,65.0,,31.0,853351,3.0,
5.0,252.0,56.0,Nyakabiga,34.0,1519041,2.0,0.01984126984126984
2.0,105.0,157.0,Kinama,9.0,705524,3.0,0.01904761904761905
1.0,42.0,241.0,Kinanira,2.0,718058,3.0,0.023809523809523808
4.0,208.0,36.0,Kinama,11.0,958924,4.0,0.019230769230769232
4.0,198.0,59.0,Rohero,30.0,2476189,3.0,0.020202020202020204
4.0,191.0,40.0,Kinanira,28.0,1661275,2.0,0.020942408376963352
5.0,228.0,,Nyakabiga,4.0,1709901,3.0,0.021929824561403508
1.0,47.0,181.0,Autres,24.0,482350,3.0,0.02127659574468085
5.0,236.0,299.0,Gasekebuye,40.0,2286847,3.0,0.0211864406779661
5.0,241.0,101.0,Cibitoke,30.0,1067184,3.0,0.02074688796680498
1.0,36.0,217.0,Gihosha,20.0,637441,3.0,0.027777777777777776
1.0,73.0,141.0,Kinama,19.0,341839,3.0,0.0136986301369863
,79.0,10.0,Gasekebuye,,1651976,4.0,
1.0,37.0,113.0,Bwiza,21.0,223992,2.0,0.02702702702702703
4.0,182.0,39.0,Autres,3.0,1214330,4.0,0.02197802197802198
3.0,139.0,43.0,,12.0,1243624,2.0,0.02158273381294964
3.0,149.0,154.0,Gasekebuye,19.0,1551433,3.0,0.020134228187919462
1.0,65.0,122.0,Nyakabiga,12.0,393107,1.0,0.015384615384615385
,144.0,265.0,Kinanira,16.0,1059409,2.0,
3.0,131.0,91.0,Nyakabiga,35.0,1375994,5.0,0.022900763358778626
,73.0,80.0,Nyakabiga,32.0,317276,1.0,
3.0,134.0,218.0,Nyakabiga,0.0,719344,3.0,0.022388059701492536
5.0,252.0,289.0,Ngagara,,1788192,4.0,0.01984126984126984
2.0,94.0,243.0,Gihosha,12.0,881102,2.0,0.02127659574468085
2.0,91.0,169.0,Cibitoke,16.0,980090,4.0,0.02197802197802198
1.0,37.0,91.0,Cibitoke,23.0,405293,3.0,0.02702702702702703
4.0,218.0,145.0,Kinanira,7.0,1915811,4.0,0.01834862385321101
1.0,43.0,164.0,Kinanira,26.0,476807,2.0,0.023255813953488372
4.0,208.0,50.0,Nyakabiga,22.0,1094619,2.0,0.019230769230769232
2.0,105.0,116.0,Ngagara,7.0,826141,2.0,0.01904761904761905
1.0,36.0,49.0,Nyakabiga,7.0,480699,2.0,0.027777777777777776
6.0,290.0,251.0,Ngagara,25.0,2024510,3.0,0.020689655172413793
5.0,223.0,108.0,Nyakabiga,,1515492,4.0,0.02242152466367713
3.0,126.0,89.0,Kinama,38.0,656963,3.0,0.023809523809523808
4.0,168.0,138.0,Kinama,36.0,702286,3.0,0.023809523809523808
6.0,256.0,112.0,Rohero,27.0,2600000,2.0,0.0234375
3.0,142.0,22.0,Nyakabiga,24.0,969147,2.0,0.02112676056338028
3.0,128.0,98.0,Gihosha,15.0,1533061,4.0,0.0234375
,55.0,154.0,Autres,1.0,761904,3.0,
,166.0,250.0,Bwiza,17.0,718007,4.0,
5.0,223.0,293.0,Rohero,16.0,2600000,3.0,0.02242152466367713
6.0,307.0,213.0,Kinanira,29.0,2559567,4.0,0.019543973941368076
3.0,161.0,130.0,Buyenzi,38.0,429523,2.0,0.018633540372670808
1.0,40.0,239.0,Nyakabiga,12.0,352989,2.0,0.025
5.0,257.0,126.0,Gasekebuye,31.0,2435903,3.0,0.019455252918287938
2.0,74.0,142.0,Kiriri,28.0,1117990,2.0,0.02702702702702703
6.0,284.0,119.0,Kinama,29.0,1421577,4.0,0.02112676056338028
3.0,126.0,166.0,Gasekebuye,17.0,1296997,4.0,0.023809523809523808
1.0,49.0,205.0,Buyenzi,12.0,136149,0.0,0.02040816326530612
2.0,121.0,238.0,Ngagara,20.0,1185706,4.0,0.01652892561983471
2.0,128.0,32.0,Buyenzi,29.0,693615,4.0,0.015625
4.0,180.0,15.0,Gihosha,20.0,1561007,3.0,0.022222222222222223
,240.0,210.0,Nyakabiga,16.0,1663240,4.0,
3.0,167.0,171.0,Cibitoke,39.0,827999,4.0,0.017964071856287425
1.0,47.0,251.0,Buyenzi,18.0,177224,2.0,0.02127659574468085
4.0,175.0,51.0,,,1152457,3.0,0.022857142857142857
5.0,261.0,250.0,Cibitoke,8.0,1323166,2.0,0.019157088122605363
4.0,198.0,131.0,Ngagara,9.0,1140448,3.0,0.020202020202020204
6.0,294.0,151.0,Rohero,30.0,2600000,3.0,0.02040816326530612
5.0,257.0,122.0,Gasekebuye,22.0,2451878,4.0,0.019455252918287938
5.0,246.0,156.0,Cibitoke,29.0,1177720,4.0,0.02032520325203252
3.0,,76.0,Rohero,32.0,1995431,2.0,
,243.0,141.0,Kinama,8.0,876345,3.0,
4.0,173.0,179.0,Bwiza,0.0,699138,3.0,0.023121387283236993
5.0,235.0,293.0,Nyakabiga,34.0,1466574,4.0,0.02127659574468085
3.0,172.0,23.0,Buyenzi,10.0,508768,3.0,0.01744186046511628
3.0,119.0,199.0,Kinama,33.0,365296,2.0,0.025210084033613446
6.0,284.0,179.0,,15.0,1028999,3.0,0.02112676056338028
4.0,182.0,145.0,Kiriri,8.0,2600000,3.0,0.02197802197802198
2.0,98.0,250.0,Musaga,31.0,494778,3.0,0.02040816326530612
2.0,112.0,97.0,Kamenge,14.0,1066380,5.0,0.017857142857142856
5.0,215.0,243.0,Autres,11.0,1341097,3.0,0.023255813953488372
6.0,267.0,209.0,Gihosha,32.0,2036681,2.0,0.02247191011235955
1.0,71.0,52.0,Rohero,13.0,1063895,2.0,0.014084507042253521
5.0,216.0,249.0,Bwiza,7.0,784084,2.0,0.023148148148148147
6.0,258.0,299.0,Musaga,7.0,1238428,3.0,0.023255813953488372
4.0,169.0,132.0,Kamenge,26.0,772010,3.0,0.023668639053254437
4.0,217.0,286.0,,,774690,3.0,0.018433179723502304
4.0,203.0,21.0,Gihosha,0.0,1698993,3.0,0.019704433497536946
4.0,176.0,75.0,Rohero,,2233069,4.0,0.022727272727272728
4.0,197.0,273.0,Nyakabiga,10.0,1420910,4.0,0.02030456852791878
6.0,256.0,286.0,Gihosha,38.0,1887787,2.0,0.0234375
6.0,295.0,11.0,Buyenzi,30.0,896416,3.0,0.020338983050847456
3.0,127.0,107.0,Kinama,16.0,754605,3.0,0.023622047244094488
2.0,109.0,197.0,Kiriri,32.0,1821920,3.0,0.01834862385321101
4.0,201.0,245.0,Kamenge,31.0,735393,3.0,0.01990049751243781
1.0,33.0,66.0,Kamenge,28.0,250370,2.0,0.030303030303030304
6.0,299.0,21.0,Bwiza,20.0,1232722,3.0,0.020066889632107024
1.0,51.0,175.0,Kiriri,20.0,948477,3.0,0.0196078431372549
,82.0,29.0,Kamenge,39.0,457947,3.0,
1.0,30.0,255.0,Kiriri,22.0,812126,3.0,0.03333333333333333
3.0,119.0,257.0,Rohero,5.0,1690726,2.0,0.025210084033613446
6.0,278.0,211.0,Buyenzi,21.0,693275,3.0,0.02158273381294964
1.0,61.0,33.0,Gihosha,37.0,703178,3.0,0.01639344262295082
4.0,197.0,121.0,Kinama,36.0,902442,3.0,0.02030456852791878
5.0,223.0,286.0,Buyenzi,7.0,1125333,4.0,0.02242152466367713
1.0,32.0,148.0,Musaga,40.0,156174,1.0,0.03125
3.0,162.0,29.0,Nyakabiga,34.0,1136929,4.0,0.018518518518518517
,294.0,160.0,Kiriri,10.0,2600000,4.0,
3.0,115.0,77.0,Cibitoke,23.0,893796,2.0,0.02608695652173913
1.0,46.0,,Buyenzi,20.0,199931,2.0,0.021739130434782608
6.0,301.0,97.0,Bwiza,1.0,856704,3.0,0.019933554817275746
5.0,221.0,90.0,Musaga,39.0,1098204,3.0,0.02262443438914027
1.0,31.0,122.0,Kinama,18.0,315568,3.0,0.03225806451612903
3.0,139.0,237.0,Bwiza,38.0,559592,2.0,0.02158273381294964
2.0,114.0,,Bwiza,27.0,360162,1.0,0.017543859649122806
4.0,163.0,210.0,Gasekebuye,16.0,2253807,2.0,0.024539877300613498
3.0,150.0,151.0,Cibitoke,5.0,885755,2.0,0.02
6.0,255.0,275.0,Kiriri,18.0,2600000,3.0,0.023529411764705882
1.0,84.0,143.0,Cibitoke,37.0,405006,3.0,0.011904761904761904
4.0,190.0,185.0,Buyenzi,27.0,580183,3.0,0.021052631578947368
1.0,43.0,34.0,Bwiza,1.0,306610,1.0,0.023255813953488372
6.0,293.0,61.0,Kamenge,37.0,987010,3.0,0.020477815699658702
1.0,78.0,236.0,Kinanira,36.0,541250,2.0,0.01282051282051282
2.0,108.0,150.0,Kinama,3.0,482399,2.0,0.018518518518518517
4.0,186.0,52.0,Kamenge,21.0,1016783,3.0,0.021505376344086023
4.0,169.0,198.0,Kinama,25.0,655523,3.0,0.023668639053254437
6.0,275.0,228.0,Kiriri,35.0,2600000,3.0,0.02181818181818182
2.0,88.0,140.0,Kinanira,12.0,924635,3.0,0.022727272727272728
3.0,153.0,26.0,Autres,31.0,1015575,4.0,0.0196078431372549
1.0,30.0,10.0,Nyakabiga,16.0,501563,3.0,0.03333333333333333
5.0,249.0,208.0,Kinanira,40.0,1788919,4.0,0.020080321285140562
1.0,37.0,243.0,Kiriri,35.0,406192,1.0,0.02702702702702703
1.0,74.0,189.0,Ngagara,18.0,684234,3.0,0.013513513513513514
3.0,142.0,296.0,Gasekebuye,34.0,1599599,2.0,0.02112676056338028
1.0,82.0,224.0,Buyenzi,39.0,252890,2.0,0.012195121951219513
2.0,89.0,120.0,Kiriri,27.0,1120678,3.0,0.02247191011235955
2.0,97.0,53.0,Buyenzi,0.0,598488,3.0,0.020618556701030927
4.0,167.0,177.0,Musaga,17.0,801099,2.0,0.023952095808383235
6.0,290.0,86.0,Kamenge,39.0,1612959,5.0,0.020689655172413793
5.0,243.0,49.0,Gasekebuye,32.0,2248408,2.0,0.0205761316872428
1.0,30.0,24.0,Musaga,11.0,620225,2.0,0.03333333333333333
1.0,30.0,,Ngagara,7.0,516258,3.0,0.03333333333333333
3.0,127.0,127.0,,23.0,1313715,2.0,0.023622047244094488
,277.0,238.0,Buyenzi,15.0,988040,4.0,
2.0,126.0,225.0,Rohero,3.0,1441714,3.0,0.015873015873015872
5.0,264.0,7.0,Kinanira,37.0,2137503,3.0,0.01893939393939394
4.0,208.0,186.0,Gasekebuye,26.0,2109415,4.0,0.019230769230769232
2.0,94.0,210.0,Kinanira,8.0,1183943,3.0,0.02127659574468085
6.0,305.0,44.0,Ngagara,15.0,1877765,4.0,0.019672131147540985
4.0,192.0,63.0,Nyakabiga,11.0,1253462,4.0,0.020833333333333332
3.0,152.0,66.0,Kinama,30.0,864449,4.0,0.019736842105263157
3.0,167.0,136.0,Bwiza,23.0,648210,3.0,0.017964071856287425
1.0,30.0,64.0,Bwiza,13.0,142096,0.0,0.03333333333333333
6.0,307.0,126.0,Ngagara,24.0,1985966,2.0,0.019543973941368076
5.0,248.0,,,33.0,887255,4.0,0.020161290322580645
4.0,204.0,,,2.0,706249,3.0,0.0196078431372549
2.0,101.0,,Ngagara,23.0,702553,3.0,0.019801980198019802
,294.0,66.0,Kinama,8.0,1013672,2.0,
6.0,296.0,260.0,Kiriri,25.0,2600000,4.0,0.02027027027027027
3.0,135.0,53.0,Musaga,19.0,606926,2.0,0.022222222222222223
1.0,40.0,163.0,Ngagara,39.0,364323,3.0,0.025
1.0,78.0,128.0,Kiriri,9.0,1574863,3.0,0.01282051282051282
4.0,180.0,211.0,Buyenzi,18.0,493603,1.0,0.022222222222222223
3.0,125.0,52.0,Ngagara,2.0,1208660,3.0,0.024
6.0,309.0,140.0,Buyenzi,23.0,1283770,4.0,0.019417475728155338
5.0,241.0,205.0,Ngagara,4.0,1675700,3.0,0.02074688796680498
3.0,150.0,254.0,Kinama,2.0,951743,5.0,0.02
