Model,Parameters,MAE,RMSE,R2,Observations
Ridge,Default (CV=5),0.0,0.0,0.8151,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1146"
Linear Regression,Default (CV=5),0.0,0.0,0.8149,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1162"
Gradient Boosting,Default (CV=5),0.0,0.0,0.8119,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.0809"
Random Forest,Default (CV=5),0.0,0.0,0.7852,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.0786"
Decision Tree,Default (CV=5),0.0,0.0,0.5999,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1193"
Dummy (Moyenne),Default (CV=5),1.0,1.0,-0.0337,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.0175"
Lasso,Default (CV=5),1.0,1.0,-0.0337,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.0175"
Gradient Boosting,Default (CV=10),0.0,0.0,0.8189,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1324"
Ridge,Default (CV=10),0.0,0.0,0.8183,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1615"
Linear Regression,Default (CV=10),0.0,0.0,0.8181,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1639"
Random Forest,Default (CV=10),0.0,0.0,0.7928,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1204"
Decision Tree,Default (CV=10),0.0,0.0,0.638,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1223"
Dummy (Moyenne),Default (CV=10),1.0,1.0,-0.0417,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.0372"
Lasso,Default (CV=10),1.0,1.0,-0.0417,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.0372"
Ridge,Default (CV=10),0.0,0.0,0.808,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1615"
Linear Regression,Default (CV=10),0.0,0.0,0.808,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1639"
Gradient Boosting,Default (CV=10),0.0,0.0,0.7984,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1274"
Random Forest,Default (CV=10),0.0,0.0,0.7778,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1206"
Decision Tree,Default (CV=10),0.0,0.0,0.5784,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1325"
Dummy (Moyenne),Default (CV=10),1.0,1.0,-0.0417,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.0372"
Lasso,Default (CV=10),1.0,1.0,-0.0417,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.0372"
Gradient Boosting,Default (CV=10),0.0,0.0,0.8189,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1324"
Ridge,Default (CV=10),0.0,0.0,0.8183,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1615"
Linear Regression,Default (CV=10),0.0,0.0,0.8181,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1639"
Random Forest,Default (CV=10),0.0,0.0,0.7928,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1204"
Decision Tree,Default (CV=10),0.0,0.0,0.638,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1223"
Dummy (Moyenne),Default (CV=10),1.0,1.0,-0.0417,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.0372"
Lasso,Default (CV=10),1.0,1.0,-0.0417,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.0372"
Gradient Boosting,Default (CV=10),0.0,0.0,0.8189,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1324"
Ridge,Default (CV=10),0.0,0.0,0.8183,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1615"
Linear Regression,Default (CV=10),0.0,0.0,0.8181,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1639"
Random Forest,Default (CV=10),0.0,0.0,0.7928,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1204"
Decision Tree,Default (CV=10),0.0,0.0,0.638,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.1223"
Dummy (Moyenne),Default (CV=10),1.0,1.0,-0.0417,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.0372"
Lasso,Default (CV=10),1.0,1.0,-0.0417,"MAE Std: 0, RMSE Std: 0, R2 Std: 0.0372"
